Player,Tm,Yds,TD,Int,Rate
Matthew Stafford,LAR,4179.0,40.0,5.0,112.1
Dak Prescott,DAL,4175.0,28.0,10.0,100.0
Jared Goff,DET,4036.0,32.0,5.0,109.4
Drake Maye,NWE,3947.0,25.0,8.0,108.5
Sam Darnold,SEA,3703.0,24.0,13.0,100.6
Bo Nix,DEN,3608.0,24.0,10.0,89.0
Patrick Mahomes,KAN,3587.0,22.0,11.0,89.6
Justin Herbert,LAC,3491.0,25.0,12.0,94.7
Trevor Lawrence,JAX,3489.0,26.0,11.0,89.9
Josh Allen,BUF,3406.0,25.0,10.0,103.3
Caleb Williams,CHI,3400.0,23.0,6.0,89.5
Jordan Love,GNB,3381.0,23.0,6.0,101.2
Baker Mayfield,TAM,3144.0,23.0,8.0,90.0
Jalen Hurts,PHI,3114.0,24.0,6.0,100.2
Daniel Jones,IND,3101.0,19.0,8.0,100.2
Jacoby Brissett,ARI,2911.0,19.0,7.0,93.7
Cam Ward,TEN,2866.0,13.0,7.0,79.1
Aaron Rodgers,PIT,2860.0,23.0,7.0,98.2
Geno Smith,LVR,2849.0,18.0,15.0,85.7
Bryce Young,CAR,2691.0,21.0,9.0,89.5
Tua Tagovailoa,MIA,2660.0,20.0,15.0,88.5
C.J. Stroud,HOU,2628.0,16.0,6.0,93.6
Joe Flacco,2TM,2455.0,15.0,10.0,79.3
Lamar Jackson,BAL,2311.0,18.0,6.0,101.4
Mac Jones,SFO,2151.0,13.0,6.0,97.4
Michael Penix,ATL,1982.0,9.0,3.0,88.5
Jaxson Dart,NYG,1835.0,13.0,5.0,89.6
Tyler Shough,NOR,1792.0,7.0,5.0,86.5
Marcus Mariota,WAS,1695.0,10.0,7.0,86.1
Joe Flacco,CIN,1640.0,13.0,4.0,91.4
Spencer Rattler,NOR,1586.0,8.0,5.0,86.5
J.J. McCarthy,MIN,1450.0,11.0,12.0,71.2
Brock Purdy,SFO,1442.0,12.0,7.0,96.0
Kirk Cousins,ATL,1415.0,8.0,4.0,85.7
Joe Burrow,CIN,1268.0,12.0,4.0,95.3
Jayden Daniels,WAS,1262.0,8.0,3.0,88.1
Justin Fields,NYJ,1259.0,7.0,1.0,89.5
Carson Wentz,MIN,1216.0,6.0,5.0,85.8
Shedeur Sanders,CLE,1103.0,6.0,8.0,67.5
Kyler Murray,ARI,962.0,6.0,3.0,88.6
Dillon Gabriel,CLE,937.0,7.0,2.0,80.8
Davis Mills,HOU,879.0,5.0,1.0,83.7
Russell Wilson,NYG,831.0,3.0,3.0,77.4
Joe Flacco,CLE,815.0,2.0,6.0,60.3
Tyrod Taylor,NYJ,779.0,5.0,5.0,72.9
Jake Browning,CIN,771.0,6.0,8.0,71.1
Jameis Winston,NYG,567.0,2.0,2.0,82.1
Brady Cook,NYJ,527.0,1.0,6.0,51.7
Tyler Huntley,BAL,319.0,1.0,0.0,101.3
Quinn Ewers,MIA,313.0,0.0,2.0,69.3
Mason Rudolph,PIT,310.0,2.0,2.0,84.6
Cooper Rush,BAL,303.0,0.0,4.0,48.8
Andy Dalton,CAR,293.0,1.0,1.0,89.1
Max Brosmer,MIN,220.0,0.0,4.0,41.1
Kenny Pickett,LVR,169.0,1.0,1.0,71.4
Riley Leonard,IND,145.0,0.0,1.0,56.5
Malik Willis,GNB,134.0,2.0,0.0,146.1
Philip Rivers,IND,120.0,1.0,1.0,73.1
Chris Oladokun,KAN,111.0,0.0,0.0,88.3
Joe Milton,DAL,110.0,1.0,1.0,96.8
Trey Lance,LAC,90.0,0.0,0.0,75.8
Teddy Bridgewater,TAM,62.0,0.0,0.0,63.7
Taysom Hill,NOR,57.0,1.0,0.0,109.0
Mitchell Trubisky,BUF,54.0,0.0,0.0,81.2
Tyson Bagent,CHI,47.0,0.0,0.0,113.5
Josh Johnson,WAS,43.0,0.0,1.0,28.7
Gardner Minshew II,KAN,37.0,0.0,1.0,21.0
Tanner McKee,PHI,33.0,0.0,0.0,112.5
Gunner Olszewski,NYG,33.0,1.0,0.0,158.3
Cam Akers,MIN,32.0,1.0,0.0,158.3
Zach Wilson,MIA,32.0,0.0,0.0,72.5
Drew Lock,SEA,15.0,0.0,0.0,78.5
Joshua Dobbs,NWE,12.0,0.0,0.0,68.7
Anthony Richardson,IND,9.0,0.0,0.0,62.5
Jaylen Waddle,MIA,8.0,0.0,0.0,100.0
Breece Hall,NYJ,4.0,1.0,0.0,122.9
David Montgomery,DET,3.0,1.0,0.0,95.8
Nick Mullens,JAX,3.0,0.0,0.0,79.2
D.J. Moore,CHI,2.0,1.0,0.0,118.7
Marte Mapu,NWE,0.0,0.0,0.0,
Isaiah Williams,NYJ,0.0,0.0,0.0,39.6
Tyler Warren,IND,0.0,0.0,0.0,39.6
Courtland Sutton,DEN,0.0,0.0,0.0,
Brett Rypien,CIN,0.0,0.0,0.0,
Chris Olave,NOR,0.0,0.0,1.0,0.0
Christian McCaffrey,SFO,0.0,0.0,0.0,39.6
Joshua Karty,LAR,0.0,0.0,0.0,39.6
Cooper Kupp,SEA,0.0,0.0,1.0,0.0
Cole Kmet,CHI,0.0,0.0,0.0,39.6
Derrick Henry,BAL,0.0,0.0,0.0,39.6
RJ Harvey,DEN,0.0,0.0,0.0,39.6
Corey Bojorquez,CLE,0.0,0.0,0.0,39.6
Kyle Allen,DET,0.0,0.0,0.0,39.6
Kedon Slovis,ARI,-2.0,0.0,0.0,56.2
League Average,,,,,91.7
